IMPLEMENTED BY,RMF CONTROL FAMILY,RMF CONTROL NUMBER,RMF CONTROL NAME - CONTROL ENHANCEMENT NAME,BASELINE IMPACT,CSF FUNCTION,CSF CATEGORY,CSF SUBCATEGORY,PRIVACY,HVA,FSA,FPKI
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RS.RP,RS.RP-1,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4(1),AUTOMATED INCIDENT HANDLING PROCESSES,M/H,NA,NA,NA,NO,NO,NO,YES
O,INCIDENT RESPONSE,IR-4(10),SUPPLY CHAIN COORDINATION,NA,NA,NA,NA,NO,YES,NO,NO
O,INCIDENT RESPONSE,IR-4(11),INTEGRATED INCIDENT RESPONSE TEAM,H,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-4(12),MALICIOUS CODE AND FORENSIC ANALYSIS,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-4(13),BEHAVIOR ANALYSIS,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-4(15),PUBLIC RELATIONS AND REPUTATION REPAIR,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-4(2),DYNAMIC RECONFIGURATION,NA,NA,NA,NA,NO,YES,NO,YES
O,INCIDENT RESPONSE,IR-4(3),CONTINUITY OF OPERATIONS,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-4(4),INFORMATION CORRELATION,H,NA,NA,NA,NO,YES,NO,NO
O,INCIDENT RESPONSE,IR-4(6),INSIDER THREATS,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-4(7),INSIDER THREATS — INTRA-ORGANIZATION COORDINATION,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-4(8),CORRELATION WITH EXTERNAL ORGANIZATIONS,NA,NA,NA,NA,NO,YES,NO,NO
O,INCIDENT RESPONSE,IR-4(9),DYNAMIC RESPONSE CAPABILITY,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-5,INCIDENT MONITORING,L/M/H,DETECT,DE.AE,DE.AE-3,YES,YES,YES,YES
O,INCIDENT RESPONSE,IR-5,INCIDENT MONITORING,L/M/H,DETECT,DE.AE,DE.AE-5,YES,YES,YES,YES
O,INCIDENT RESPONSE,IR-5,INCIDENT MONITORING,L/M/H,RESPOND,RS.AN,RS.AN-1,YES,YES,YES,YES
O,INCIDENT RESPONSE,IR-5,INCIDENT MONITORING,L/M/H,RESPOND,RS.AN,RS.AN-4,YES,YES,YES,YES
O,INCIDENT RESPONSE,IR-5(1),"AUTOMATED TRACKING, DATA COLLECTION, AND ANALYSIS",H,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-6,INCIDENT REPORTING,L/M/H,RESPOND,RS.CO,RS.CO-2,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-6(1),AUTOMATED REPORTING,M/H,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-6(2),VULNERABILITIES RELATED TO INCIDENTS,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-6(3),SUPPLY CHAIN COORDINATION,M/H,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-7,INCIDENT RESPONSE ASSISTANCE,L/M/H,PROTECT,PR.IP,PR.IP-9,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-7(1),AUTOMATION SUPPORT FOR AVAILABILITY OF INFORMATION AND SUPPORT,M/H,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-7(2),COORDINATION WITH EXTERNAL PROVIDERS,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,DETECT,DE.AE,DE.AE-3,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,DETECT,DE.AE,DE.AE-5,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,IDENTIFY,ID.SC,ID.SC-5,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,PROTECT,PR.IP,PR.IP-7,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,PROTECT,PR.IP,PR.IP-8,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,PROTECT,PR.IP,PR.IP-9,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,RESPOND,RC.IM,RC.IM-1,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,RESPOND,RC.IM,RC.IM-2,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,RESPOND,RC.RP,RC.RP-1,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,RESPOND,RS.AN,RS.AN-4,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,RESPOND,RS.CO,RS.CO-1,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,RESPOND,RS.CO,RS.CO-2,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,RESPOND,RS.CO,RS.CO-3,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,RESPOND,RS.CO,RS.CO-4,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,RESPOND,RS.IM,RS.IM-1,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,RESPOND,RS.IM,RS.IM-2,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8,INCIDENT RESPONSE PLAN,L/M/H,RESPOND,RS.RP,RS.RP-1,NO,NO,YES,YES
O,INCIDENT RESPONSE,IR-8(1),BREACHES,H,NA,NA,NA,YES,NO,NO,NO
O,INCIDENT RESPONSE,IR-9,INFORMATION SPILLAGE RESPONSE,NA,IDENTIFY,ID.SC,ID.SC-5,NO,NO,YES,NO
O,INCIDENT RESPONSE,IR-9,INFORMATION SPILLAGE RESPONSE,NA,PROTECT,PR.IP,PR.IP-9,NO,NO,YES,NO
O,INCIDENT RESPONSE,IR-9(2),TRAINING,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-9(3),POST-SPILL OPERATIONS,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-9(4),EXPOSURE TO UNAUTHORIZED PERSONNEL,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,NO,NO,YES,YES
O,MAINTENANCE FAMILY,MA-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,NO,NO,YES,YES
O,MAINTENANCE FAMILY,MA-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,NO,NO,YES,YES
O,MAINTENANCE FAMILY,MA-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.MA,PR.MA-1,NO,NO,YES,YES
O,MAINTENANCE FAMILY,MA-2,CONTROLLED MAINTENANCE,L/M/H,PROTECT,PR.MA,PR.MA-1,NO,NO,YES,YES
O,MAINTENANCE FAMILY,MA-2(2),AUTOMATED MAINTENANCE ACTIVITIES,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-3,MAINTENANCE TOOLS,L/M/H,PROTECT,PR.MA,PR.MA-1,NO,NO,YES,YES
O,MAINTENANCE FAMILY,MA-3(1),INSPECT TOOLS,M/H,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-3(2),INSPECT MEDIA,M/H,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-3(3),PREVENT UNAUTHORIZED REMOVAL,M/H,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-4,NONLOCAL MAINTENANCE,L/M/H,PROTECT,PR.MA,PR.MA-2,NO,NO,YES,YES
O,MAINTENANCE FAMILY,MA-4(1),LOGGING AND REVIEW,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-4(3),COMPARABLE SECURITY AND SANITIZATION,H,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-4(4),AUTHENTICATION AND SEPARATION OF MAINTENANCE SESSIONS,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-4(5),APPROVALS AND NOTIFICATIONS,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-5,MAINTENANCE PERSONNEL,L/M/H,PROTECT,PR.MA,PR.MA-1,NO,NO,YES,YES
O,MAINTENANCE FAMILY,MA-5(1),INDIVIDUALS WITHOUT APPROPRIATE ACCESS,H,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-5(2),SECURITY CLEARANCES FOR CLASSIFIED SYSTEMS,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-5(3),CITIZENSHIP REQUIREMENTS FOR CLASSIFIED SYSTEMS,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-5(4),FOREIGN NATIONALS,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-5(5),NON-SYSTEM MAINTENANCE,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-6,TIMELY MAINTENANCE,M/H,PROTECT,PR.MA,PR.MA-1,NO,NO,YES,YES
O,MAINTENANCE FAMILY,MA-6(1),PREVENTIVE MAINTENANCE,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-6(2),PREDICTIVE MAINTENANCE,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-6(3),AUTOMATED SUPPORT FOR PREDICTIVE MAINTENANCE,NA,NA,NA,NA,NO,NO,NO,NO
O,MAINTENANCE FAMILY,MA-7,FIELD MAINTENANCE,NA,NA,NA,NA,NO,NO,NO,NO
O,MEDIA PROTECTION,MP-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,YES,NO,YES,YES
O,MEDIA PROTECTION,MP-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,YES,NO,YES,YES
O,MEDIA PROTECTION,MP-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,YES,NO,YES,YES
O,MEDIA PROTECTION,MP-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.PT,PR.PT-2,YES,NO,YES,YES
O,MEDIA PROTECTION,MP-2,MEDIA ACCESS,L/M/H,PROTECT,PR.DS,PR.DS-1,NO,NO,YES,YES
O,MEDIA PROTECTION,MP-2,MEDIA ACCESS,L/M/H,PROTECT,PR.PT,PR.PT-2,NO,NO,YES,YES
O,MEDIA PROTECTION,MP-3,MEDIA MARKING,M/H,PROTECT,PR.DS,PR.DS-1,NO,NO,YES,YES
O,MEDIA PROTECTION,MP-3,MEDIA MARKING,M/H,PROTECT,PR.PT,PR.PT-2,NO,NO,YES,YES
O,MEDIA PROTECTION,MP-4,MEDIA STORAGE,M/H,PROTECT,PR.DS,PR.DS-1,NO,NO,YES,YES
O,MEDIA PROTECTION,MP-4,MEDIA STORAGE,M/H,PROTECT,PR.PT,PR.PT-2,NO,NO,YES,YES
O,MEDIA PROTECTION,MP-4(2),AUTOMATED RESTRICTED ACCESS,NA,NA,NA,NA,NO,NO,NO,NO
O,MEDIA PROTECTION,MP-5,MEDIA TRANSPORT,M/H,PROTECT,PR.DS,PR.DS-1,NO,NO,YES,YES
O,MEDIA PROTECTION,MP-5,MEDIA TRANSPORT,M/H,PROTECT,PR.PT,PR.PT-2,NO,NO,YES,YES
O,MEDIA PROTECTION,MP-5(3),CUSTODIANS,NA,NA,NA,NA,NO,NO,NO,NO
O,MEDIA PROTECTION,MP-6,MEDIA SANITIZATION,L/M/H,PROTECT,PR.DS,PR.DS-1,YES,YES,YES,YES
O,MEDIA PROTECTION,MP-6,MEDIA SANITIZATION,L/M/H,PROTECT,PR.DS,PR.DS-3,YES,YES,YES,YES
O,MEDIA PROTECTION,MP-6,MEDIA SANITIZATION,L/M/H,PROTECT,PR.IP,PR.IP-6,YES,YES,YES,YES
O,MEDIA PROTECTION,MP-6(1),"REVIEW, APPROVE, TRACK, DOCUMENT, AND VERIFY",H,NA,NA,NA,NO,NO,NO,NO
O,MEDIA PROTECTION,MP-6(2),EQUIPMENT TESTING,H,NA,NA,NA,NO,NO,NO,NO
O,MEDIA PROTECTION,MP-6(3),NONDESTRUCTIVE TECHNIQUES,H,NA,NA,NA,NO,NO,NO,NO
O,MEDIA PROTECTION,MP-6(7),DUAL AUTHORIZATION,NA,NA,NA,NA,NO,NO,NO,NO
O,MEDIA PROTECTION,MP-6(8),REMOTE PURGING OR WIPING OF INFORMATION,NA,NA,NA,NA,NO,YES,NO,NO
O,MEDIA PROTECTION,MP-7,MEDIA USE,L/M/H,PROTECT,PR.DS,PR.DS-1,NO,NO,YES,YES
O,MEDIA PROTECTION,MP-7,MEDIA USE,L/M/H,PROTECT,PR.PT,PR.PT-2,NO,NO,YES,YES
O,MEDIA PROTECTION,MP-7(2),PROHIBIT USE OF SANITIZATION-RESISTANT MEDIA,NA,NA,NA,NA,NO,NO,NO,NO
O,MEDIA PROTECTION,MP-8,MEDIA DOWNGRADING,NA,PROTECT,PR.DS,PR.DS-1,NO,NO,YES,NO
O,MEDIA PROTECTION,MP-8,MEDIA DOWNGRADING,NA,PROTECT,PR.PT,PR.PT-2,NO,NO,YES,NO
O,MEDIA PROTECTION,MP-8(1),DOCUMENTATION OF PROCESS,NA,NA,NA,NA,NO,NO,NO,NO
O,MEDIA PROTECTION,MP-8(2),EQUIPMENT TESTING,NA,NA,NA,NA,NO,NO,NO,NO
O,MEDIA PROTECTION,MP-8(3),CONTROLLED UNCLASSIFIED INFORMATION,NA,NA,NA,NA,NO,NO,NO,NO
O,MEDIA PROTECTION,MP-8(4),CLASSIFIED INFORMATION,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-1,POLICY AND PROCEDURES,NA,DETECT,DE.DP,DE.DP-2,YES,NO,YES,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-1,POLICY AND PROCEDURES,NA,IDENTIFY,ID.GV,ID.GV-1,YES,NO,YES,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-1,POLICY AND PROCEDURES,NA,IDENTIFY,ID.GV,ID.GV-3,YES,NO,YES,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-2,AUTHORITY TO PROCESS PERSONALLY IDENTIFIABLE INFORMATION,NA,NA,NA,NA,YES,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-2(2),AUTOMATION,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-3,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING PURPOSES,NA,NA,NA,NA,YES,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-3(2),AUTOMATION,NA,NA,NA,NA,NO,YES,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-4,CONSENT,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-4(1),TAILORED CONSENT,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-4(2),JUST-IN-TIME CONSENT,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-4(3),REVOCATION,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-5,PRIVACY NOTICE,NA,NA,NA,NA,YES,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-5(1),JUST-IN-TIME NOTICE,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-5(2),PRIVACY ACT STATEMENTS,NA,NA,NA,NA,YES,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-6,SYSTEM OF RECORDS NOTICE,NA,NA,NA,NA,YES,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-6(1),ROUTINE USES,NA,NA,NA,NA,YES,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-6(2),EXEMPTION RULES,NA,NA,NA,NA,YES,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-7,SPECIFIC CATEGORIES OF PERSONALLY IDENTIFIABLE INFORMATION,NA,NA,NA,NA,YES,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-7(1),SOCIAL SECURITY NUMBERS,NA,NA,NA,NA,YES,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-7(2),FIRST AMENDMENT INFORMATION,NA,NA,NA,NA,YES,NO,NO,NO
O,PERSONALLY IDENTIFIABLE INFORMATION PROCESSING AND TRANSPARENCY,PT-8,COMPUTER MATCHING REQUIREMENTS,NA,NA,NA,NA,YES,NO,NO,NO
O,PERSONNEL SECURITY,PS-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.IP,PR.IP-11,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-2,POSITION RISK DESIGNATION,L/M/H,PROTECT,PR.IP,PR.IP-11,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-3,PERSONNEL SCREENING,L/M/H,PROTECT,PR.AC,PR.AC-6,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-3,PERSONNEL SCREENING,L/M/H,PROTECT,PR.IP,PR.IP-11,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-3(1),CLASSIFIED INFORMATION,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONNEL SECURITY,PS-3(2),FORMAL INDOCTRINATION,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONNEL SECURITY,PS-3(3),INFORMATION REQUIRING SPECIAL PROTECTION MEASURES,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONNEL SECURITY,PS-3(4),CITIZENSHIP REQUIREMENTS,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONNEL SECURITY,PS-4,PERSONNEL TERMINATION,L/M/H,PROTECT,PR.IP,PR.IP-11,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-4(1),POST-EMPLOYMENT REQUIREMENTS,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONNEL SECURITY,PS-4(2),AUTOMATED ACTIONS,H,NA,NA,NA,NO,NO,NO,NO
O,PERSONNEL SECURITY,PS-5,PERSONNEL TRANSFER,L/M/H,PROTECT,PR.IP,PR.IP-11,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-6,ACCESS AGREEMENTS,L/M/H,PROTECT,PR.DS,PR.DS-5,YES,NO,YES,YES
O,PERSONNEL SECURITY,PS-6,ACCESS AGREEMENTS,L/M/H,PROTECT,PR.IP,PR.IP-11,YES,NO,YES,YES
O,PERSONNEL SECURITY,PS-6(2),CLASSIFIED INFORMATION REQUIRING SPECIAL PROTECTION,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONNEL SECURITY,PS-6(3),POST-EMPLOYMENT REQUIREMENTS,NA,NA,NA,NA,NO,NO,NO,NO
O,PERSONNEL SECURITY,PS-7,EXTERNAL PERSONNEL SECURITY,L/M/H,DETECT,DE.CM,DE.CM-6,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-7,EXTERNAL PERSONNEL SECURITY,L/M/H,IDENTIFY,ID.AM,ID.AM-6,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-7,EXTERNAL PERSONNEL SECURITY,L/M/H,IDENTIFY,ID.GV,ID.GV-2,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-7,EXTERNAL PERSONNEL SECURITY,L/M/H,IDENTIFY,ID.SC,ID.SC-4,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-7,EXTERNAL PERSONNEL SECURITY,L/M/H,PROTECT,PR.AT,PR.AT-3,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-7,EXTERNAL PERSONNEL SECURITY,L/M/H,PROTECT,PR.IP,PR.IP-11,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-8,PERSONNEL SANCTIONS,L/M/H,PROTECT,PR.IP,PR.IP-11,NO,NO,YES,YES
O,PERSONNEL SECURITY,PS-9,POSITION DESCRIPTIONS,L/M/H,IDENTIFY,ID.GV,ID.GV-2,NO,NO,NO,YES
O,PERSONNEL SECURITY,PS-9,POSITION DESCRIPTIONS,L/M/H,PROTECT,PR.IP,PR.IP-11,NO,NO,NO,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.AC,PR.AC-2,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.IP,PR.IP-5,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-10,EMERGENCY SHUTOFF,M/H,NA,NA,NA,NO,NO,YES,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-11,EMERGENCY POWER,M/H,IDENTIFY,ID.BE,ID.BE-4,NO,NO,NO,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-11,EMERGENCY POWER,M/H,NA,NA,NA,NO,NO,NO,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-11,EMERGENCY POWER,M/H,PROTECT,PR.DS,PR.DS-4,NO,NO,NO,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-11,EMERGENCY POWER,M/H,PROTECT,PR.PT,PR.PT-5,NO,NO,NO,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-11(1),ALTERNATE POWER SUPPLY — MINIMAL OPERATIONAL CAPABILITY,H,NA,NA,NA,NO,NO,NO,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-11(2),ALTERNATE POWER SUPPLY — SELF-CONTAINED,NA,NA,NA,NA,NO,NO,NO,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-12,EMERGENCY LIGHTING,L/M/H,NA,NA,NA,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-12(1),ESSENTIAL MISSION AND BUSINESS FUNCTIONS,NA,NA,NA,NA,NO,NO,NO,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-13,FIRE PROTECTION,L/M/H,NA,NA,NA,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-13(1),DETECTION SYSTEMS — AUTOMATIC ACTIVATION AND NOTIFICATION,M/H,NA,NA,NA,NO,NO,NO,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-13(2),SUPPRESSION SYSTEMS — AUTOMATIC ACTIVATION AND NOTIFICATION,H,NA,NA,NA,NO,NO,NO,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-13(4),INSPECTIONS,NA,NA,NA,NA,NO,NO,NO,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-14,ENVIRONMENTAL CONTROLS,L/M/H,NA,NA,NA,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-14(1),AUTOMATIC CONTROLS,NA,NA,NA,NA,NO,NO,NO,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-14(2),MONITORING WITH ALARMS AND NOTIFICATIONS,NA,NA,NA,NA,NO,NO,NO,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-15,WATER DAMAGE PROTECTION,L/M/H,NA,NA,NA,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-15(1),AUTOMATION SUPPORT,H,NA,NA,NA,NO,NO,NO,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-16,DELIVERY AND REMOVAL,L/M/H,PROTECT,PR.DS,PR.DS-3,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-17,ALTERNATE WORK SITE,M/H,NA,NA,NA,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-18,LOCATION OF SYSTEM COMPONENTS,H,NA,NA,NA,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-19,INFORMATION LEAKAGE,NA,PROTECT,PR.DS,PR.DS-5,NO,NO,YES,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-19(1),NATIONAL EMISSIONS POLICIES AND PROCEDURES,NA,NA,NA,NA,NO,NO,NO,NO
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-2,PHYSICAL ACCESS AUTHORIZATIONS,L/M/H,PROTECT,PR.AC,PR.AC-2,NO,NO,YES,YES
O,PHYSICAL AND ENVIRONMENTAL PROTECTION,PE-2,PHYSICAL ACCESS AUTHORIZATIONS,L/M/H,PROTECT,PR.AC,PR.AC-6,NO,NO,YES,YES
